@Relation test
@Attribute feature_0 numeric
@Attribute feature_1 numeric
@Attribute feature_2 numeric
@Attribute feature_3 numeric
@Attribute feature_4 numeric
@Attribute feature_5 numeric
@Attribute feature_6 numeric
@Attribute feature_7 numeric
@Attribute feature_8 numeric
@Attribute feature_9 numeric
@Attribute feature_10 numeric
@Attribute feature_11 numeric
@Attribute feature_12 numeric
@Attribute feature_13 numeric
@Attribute feature_14 numeric
@Attribute feature_15 numeric
@Attribute feature_16 numeric
@Attribute feature_17 numeric
@Attribute feature_18 numeric
@Attribute feature_19 numeric
@Attribute feature_20 numeric
@Attribute feature_21 numeric
@Attribute feature_22 numeric
@Attribute feature_23 numeric
@Attribute feature_24 numeric
@Attribute feature_25 numeric
@Attribute feature_26 numeric
@Attribute feature_27 numeric
@Attribute feature_28 numeric
@Attribute feature_29 numeric
@Attribute feature_30 numeric
@Attribute feature_31 numeric
@Attribute feature_32 numeric
@Attribute feature_33 numeric
@Attribute feature_34 numeric
@Attribute feature_35 numeric
@Attribute feature_36 numeric
@Attribute feature_37 numeric
@Attribute feature_38 numeric
@Attribute feature_39 numeric
@Attribute feature_40 numeric
@Attribute feature_41 numeric
@Attribute feature_42 numeric
@Attribute feature_43 numeric
@Attribute feature_44 numeric
@Attribute feature_45 numeric
@Attribute feature_46 numeric
@Attribute feature_47 numeric
@Attribute feature_48 numeric
@Attribute feature_49 numeric
@Attribute feature_50 numeric
@Attribute feature_51 numeric
@Attribute feature_52 numeric
@Attribute feature_53 numeric
@Attribute feature_54 numeric
@Attribute feature_55 numeric
@Attribute feature_56 numeric
@Attribute feature_57 numeric
@Attribute feature_58 numeric
@Attribute feature_59 numeric
@Attribute feature_60 numeric
@Attribute feature_61 numeric
@Attribute class {MAIL_gate_Email_IMAP_filetransfer.pcap,MAIL_gate_POP_filetransfer.pcap,MAIL_Gateway_Thunderbird_Imap.pcap}
@data
3325347879,167772687,443,59960,28,1064,60,1474,1474,1474,1228,1474,1474,1474,1474,1310,1474,1228,1474,1474,1474,1310,60,1474,1474,982,1474,1474,982,1474,60,60,1474,0.24469399999999908,1e-05,0.0016719999999992297,0.1269120000000008,3.799999999998249e-05,0.003166000000000224,6.100000000053285e-05,5.9999999999504894e-05,0.00044399999999988893,0.0002200000000005531,8.899999999911756e-05,1.1999999999900979e-05,5.9000000000253294e-05,4.400000000082116e-05,0.02750399999999864,4.000000000026205e-05,3.500000000045134e-05,4.999999999810711e-06,0.0010870000000000601,0.0363389999999999,0.00011600000000022703,9.999999999621423e-06,4.7000000000352316e-05,2.800000000036107e-05,5.2999999999414626e-05,5.600000000072214e-05,0.00322199999999917,0.001046999999999798,0.042286999999999964,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,0.23114999999999952,1e-05,0.002349999999999852,0.02519799999999961,4.000000000026205e-05,3.500000000045134e-05,0.03744099999999939,6.49999999993156e-05,5.9000000000253294e-05,3.5999999999702936e-05,3.500000000045134e-05,5.2999999999414626e-05,7.100000000015427e-05,0.04658100000000154,0.0030069999999984276,9.100000000117348e-05,0.014996999999999261,7.300000000043383e-05,0.01299099999999953,0.00011300000000069588,7.100000000015427e-05,0.038255999999998735,0.027833000000001107,0.017395999999999745,3.700000000073089e-05,0.0034599999999986863,0.0007590000000003982,3.399999999942338e-05,4.7000000000352316e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1310,1310,1474,1228,1228,1474,1474,1474,1228,60,60,1474,1474,1474,1310,60,1310,1310,1392,1310,1474,60,1474,1146,1310,1392,60,1474,0.2334170000000011,1e-05,0.0030000000000001137,9.300000000145303e-05,6.4000000000064e-05,0.015013999999998973,0.01296499999999945,0.00012900000000115597,8.300000000005525e-05,3.899999999923409e-05,0.078519,0.0006710000000005323,0.004236999999999824,1.8000000000739647e-05,3.999999999848569e-05,2.200000000129876e-05,0.0004299999999997084,0.0030000000000001137,0.0007660000000004885,2.4999999999053557e-05,4.400000000082116e-05,4.500000000007276e-05,0.002361999999999753,0.02547899999999892,7.399999999968543e-05,0.006581000000000614,0.00041099999999971715,0.0006859999999999644,0.07860300000000109,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1474,1474,1474,1474,1474,1474,501,1474,1474,1474,1474,697,1228,1474,880,1228,1474,1474,1474,1474,1474,1146,1474,1474,1474,953,1474,1474,0.2803330000000006,1e-05,1.100000000064938e-05,9.000000000014552e-05,4.2000000000541604e-05,2.899999999961267e-05,8.700000000061436e-05,5.199999999838667e-05,0.04950200000000038,0.00010400000000032605,0.01498699999999964,9.700000000023579e-05,0.00013799999999974943,0.01297899999999963,6.30000000008124e-05,0.06529699999999927,0.01822899999999983,0.0034290000000005705,0.0007859999999997314,4.2000000000541604e-05,4.500000000007276e-05,3.0999999999892225e-05,5.200000000016303e-05,0.027749999999999275,0.0001020000000000465,0.006569999999999965,0.021436000000001343,0.058237999999999346,0.00013500000000021828,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,0.3104030000000009,1e-05,0.027838000000000918,6.4000000000064e-05,0.006588999999999956,0.05989600000000017,0.01980799999999938,7.399999999968543e-05,5.9000000000253294e-05,0.00032599999999938234,0.0003019999999995804,6.20000000015608e-05,5.599999999894578e-05,0.006075000000000941,0.06658599999999915,8.500000000033481e-05,5.799999999922534e-05,5.500000000147054e-05,0.04236899999999899,8.599999999958641e-05,9.000000000014552e-05,0.0004540000000012867,0.007967999999999975,0.00016099999999852344,6.700000000137152e-05,0.00022399999999933584,0.07090099999999921,6.500000000109196e-05,4.500000000007276e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1228,1474,1228,1474,1310,1474,1228,1474,1474,1474,1064,60,1474,1474,1474,1228,1474,1310,1474,1310,60,60,1474,1474,1474,1474,1146,1392,0.23214100000000037,1e-05,7.000000000090267e-05,7.000000000090267e-06,0.00032000000000032003,0.00035299999999871545,5.8000000001001695e-05,1.1999999999900979e-05,0.07258500000000012,5.699999999997374e-05,0.00014799999999937086,6.699999999959516e-05,0.0012330000000009278,0.04111900000000013,8.399999999930685e-05,9.200000000042508e-05,7.199999999940587e-05,0.00038499999999963563,0.008129000000000275,7.000000000090267e-05,0.00023599999999923682,0.00079200000000057,0.001322999999999297,0.06874800000000114,9.199999999864872e-05,4.900000000063187e-05,9.000000000369823e-06,5.799999999922534e-05,5.200000000016303e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1474,1228,1474,1474,60,1228,1474,1474,1474,803,1228,1474,1310,1474,1474,1228,1474,1319,1228,1474,1392,1474,1146,1474,1474,1228,1474,1474,0.26026799999999994,1e-05,7.100000000015427e-05,0.00024199999999829913,7.200000000118223e-05,0.005991999999999109,0.0667939999999998,1.4000000000180535e-05,5.9000000000253294e-05,4.400000000082116e-05,0.03813699999999898,0.004326000000000718,9.099999999939712e-05,0.000512000000000512,0.00789200000000001,0.00018099999999954264,6.800000000062312e-05,0.0002089999999999037,0.056502999999999304,0.014480000000000715,9.200000000042508e-05,0.042301000000000144,0.0004569999999990415,5.699999999997374e-05,7.000000000090267e-05,0.001346999999999099,7.599999999996498e-05,0.0001010000000007949,0.02005299999999899,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1474,1474,1474,1310,1310,1474,1474,1474,1146,60,60,60,1474,1474,1146,1392,1474,1474,1228,1474,1228,1310,1392,60,1474,1228,1474,1474,0.11690800000000046,1e-05,0.00011399999999994748,8.09999999997757e-05,4.6000000001100716e-05,5.699999999997374e-05,0.0013649999999998386,5.9000000000253294e-05,1.0999999998873022e-05,5.499999999969418e-05,0.003083000000000169,0.020093000000001027,0.0003459999999986252,0.055331000000000685,5.2999999999414626e-05,8.100000000155205e-05,4.699999999857596e-05,0.03403800000000068,5.200000000016303e-05,6.999999999912632e-05,5.8000000001001695e-05,1.0999999998873022e-05,7.100000000015427e-05,4.7000000000352316e-05,0.001136000000000692,0.0003589999999995541,0.00010799999999910881,0.00011200000000144428,1.4000000000180535e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,597,597,597,597,247,597,597,597,597,597,597,597,597,597,597,1111,1111,597,597,597,597,597,597,597,597,597,597,597,2.983727,1e-05,0.23894699999999958,0.07399400000000078,0.42037499999999994,0.28432999999999886,0.7615630000000007,0.08465100000000092,0.059762999999998456,0.09602300000000064,0.0017530000000007817,0.050638999999998546,0.07772000000000112,0.15970800000000018,0.04002499999999998,0.0009599999999991837,0.1521720000000002,0.0006959999999995858,0.0048840000000005546,0.006182000000000798,0.03311499999999867,0.15368699999999968,0.0509030000000017,0.0013889999999996405,0.11650899999999886,0.01995600000000053,0.000396000000000285,0.09095499999999923,0.0022929999999998785,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,0.27487700000000004,1e-05,0.035963999999999885,0.006709999999999994,7.399999999968543e-05,6.899999999987472e-05,5.8000000001001695e-05,0.001358999999999,6.30000000008124e-05,5.699999999997374e-05,0.000418999999999059,0.019705000000000084,0.05884600000000084,7.300000000043383e-05,0.0058869999999995315,0.028256999999999977,7.500000000071338e-05,5.799999999922534e-05,6.899999999987472e-05,0.0015420000000005984,0.00014299999999956015,9.200000000042508e-05,0.000700000000000145,0.027911999999998827,0.04382700000000028,0.00647799999999954,0.0006730000000008118,0.03355499999999978,0.0021649999999997505,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1064,1474,60,1310,1474,1474,1474,1310,60,1474,1474,1474,1474,1474,1474,1146,1474,1474,1310,1310,60,60,1474,1310,60,1474,1474,1474,0.9434710000000006,1e-05,7.000000000090267e-06,0.0015570000000000306,0.026970999999999634,0.05027500000000096,3.300000000017178e-05,0.034222999999999004,6.30000000008124e-05,0.0009289999999992915,0.0011799999999997368,5.9000000000253294e-05,0.0005590000000008644,1.9999999999242846e-05,6.800000000062312e-05,4.500000000007276e-05,5.499999999969418e-05,1.1999999999900979e-05,5.400000000044258e-05,7.000000000090267e-06,2.3999999999801958e-05,0.00397999999999854,0.0019710000000010552,0.4161380000000001,0.00011699999999947863,0.1675640000000005,0.12171799999999955,5.2999999999414626e-05,0.11569300000000027,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,367,1474,1161,1474,1474,1474,1474,1474,1310,1474,1146,1228,1392,1392,1228,1228,1474,1310,1474,1310,1474,1021,597,1005,597,841,597,1392,1.0387170000000001,1e-05,0.05890499999999932,0.005869000000000568,0.028362999999998806,0.00011600000000022703,0.0015350000000005082,0.0001490000000003988,0.00015900000000002024,2.800000000036107e-05,0.028467999999998383,0.006156999999999968,0.04426100000000055,0.03400700000000079,0.0023159999999986525,8.600000000136276e-05,0.00062400000000018,6.799999999884676e-05,9.900000000051534e-05,2.3999999999801958e-05,6.000000000838668e-06,5.999999999062311e-06,0.02395899999999962,0.12277399999999972,0.2755290000000006,0.16020400000000024,0.1291550000000008,0.06562599999999996,0.05020899999999884,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,1.0583690000000008,1e-05,0.0005710000000007653,6.49999999993156e-05,5.699999999997374e-05,5.400000000044258e-05,0.0006889999999994956,0.05960500000000124,0.08673999999999893,0.2752010000000009,6.100000000053285e-05,5.199999999838667e-05,0.16023000000000032,0.12905800000000056,0.03667000000000087,0.02907599999999988,0.050024999999999764,7.999999999874774e-05,5.500000000147054e-05,0.00026799999999838064,5.400000000044258e-05,0.05242100000000072,0.062284000000000006,5.699999999997374e-05,4.099999999951365e-05,4.000000000026205e-05,3.799999999998249e-05,0.002864000000000644,0.11178999999999917,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1310,1310,1474,1474,1064,1474,1228,60,60,1474,1310,1474,1146,1474,1474,1064,1474,1474,60,60,1474,1474,60,1474,1474,1146,1474,1474,1.1312789999999993,1e-05,0.0003839999999986077,0.11476299999999995,4.800000000138027e-05,2.999999999886427e-05,3.900000000101045e-05,7.999999999341867e-06,0.0031809999999996563,0.10468999999999973,0.006745000000000445,2.899999999961267e-05,0.000256000000000256,6.4000000000064e-05,0.0002620000000010947,5.099999999913507e-05,5.799999999922534e-05,1.2000000001677336e-05,6.299999999903605e-05,0.006560999999999595,0.41007500000000086,0.25365700000000047,0.0001239999999995689,0.0011169999999989244,0.11389000000000138,7.499999999893703e-05,7.000000000090267e-05,0.05276600000000009,0.06220300000000023,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1474,1161,1474,1474,1474,803,597,1474,1474,1474,1474,1474,1228,1310,495,597,597,327,1140,1474,1079,1392,1474,1474,1148,597,1474,1310,1.2469000000000001,1e-05,0.0524369999999994,0.062243999999999744,0.0001829999999998222,4.6000000001100716e-05,0.0025569999999994764,0.09625499999999931,0.01611100000000043,6.899999999987472e-05,0.0002589999999997872,7.800000000024454e-05,0.0001029999999992981,1.100000000064938e-05,1.3000000000928935e-05,0.05860299999999974,0.34774299999999947,0.06488399999999928,0.19924300000000095,0.06506300000000032,0.049992999999998844,0.05289800000000078,0.06221999999999994,0.002962000000000131,2.1000000000270802e-05,5.9000000000253294e-05,0.09879899999999964,0.01390699999999967,0.0001230000000003173,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,54,54,54,54,54,54,54,54,1514,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,1.067971,1e-05,6.099999999875649e-05,0.00026400000000137425,6.099999999875649e-05,5.699999999997374e-05,0.00037100000000123146,0.09782599999999952,0.3082729999999998,0.009999999999999787,0.09374299999999991,0.16019999999999968,7.800000000024454e-05,5.699999999997374e-05,0.103688,0.01128199999999957,4.800000000138027e-05,3.300000000017178e-05,3.399999999942338e-05,0.052806999999999604,6.100000000053285e-05,0.06214899999999979,6.49999999993156e-05,0.0029850000000006816,5.799999999922534e-05,0.09891499999999986,0.013745000000000118,8.200000000080365e-05,9.400000000070463e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1310,1474,60,60,1392,1474,1228,1474,1474,1474,1392,60,1474,1474,1310,1474,1310,60,1474,1310,1310,1474,1228,60,1474,1474,1474,1474,0.4626549999999998,1e-05,0.0030439999999991585,0.10019899999999993,0.0012540000000011986,0.010735999999999635,0.00047499999999978115,8.00000000005241e-05,7.499999999893703e-05,0.05101900000000015,8.300000000005525e-05,7.100000000015427e-05,0.0012179999999997193,0.01242600000000138,0.05049899999999852,4.800000000138027e-05,0.00019200000000019202,0.00039400000000000546,0.0022719999999996077,0.11344199999999915,5.200000000016303e-05,0.0004609999999996006,0.00014200000000030855,5.600000000072214e-05,0.0023140000000001493,0.11189300000000024,4.199999999876525e-05,8.09999999997757e-05,7.700000000099294e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,0.5278989999999997,1e-05,7.899999999949614e-05,0.013707000000000136,0.05054099999999906,0.00015400000000020952,3.799999999998249e-05,0.00039899999999981617,0.05368400000000051,0.062084999999999724,0.00023299999999970566,0.0002200000000005531,0.0001449999999998397,0.0017150000000007992,0.11258999999999908,7.399999999968543e-05,8.900000000089392e-05,4.599999999932436e-05,0.00014600000000086766,0.03863299999999903,0.027283999999999864,0.04948000000000086,5.400000000044258e-05,3.899999999923409e-05,6.899999999987472e-05,9.299999999967667e-05,4.6000000001100716e-05,0.09094599999999886,0.02523500000000034,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1474,1146,596,1474,1474,1146,1474,1392,1065,1474,1310,1474,1474,1036,841,1474,1474,1317,1474,1474,1474,1474,1474,1474,678,1474,1474,1474,0.5282169999999997,1e-05,0.0001459999999990913,0.013711999999999946,0.050675000000000026,9.999999999621423e-06,4.900000000063187e-05,0.0003750000000000142,0.0015130000000009858,0.012510999999999939,0.10197699999999976,1.799999999896329e-05,0.00020500000000112095,0.00014299999999956015,0.0017269999999989238,0.11266200000000026,9.900000000051534e-05,0.00018400000000085015,0.0653429999999986,0.050057000000000684,4.999999999988347e-05,4.2000000000541604e-05,6.699999999959516e-05,9.200000000042508e-05,9.000000000369823e-06,0.054487999999999204,0.061823000000000405,5.200000000016303e-05,0.00017499999999870397,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1146,1392,1474,1228,1392,1474,1064,1474,1064,1392,60,1474,1474,1474,982,1474,1474,1228,60,60,1474,1474,1474,1228,1474,1474,1064,60,0.3787900000000004,1e-05,9.000000000369823e-06,0.00014600000000086766,3.1999999999143824e-05,0.11531800000000025,9.999999999976694e-05,4.000000000026205e-05,6.899999999987472e-05,0.00012900000000115597,9.999999999621423e-06,0.0007310000000000372,0.11538299999999957,4.500000000007276e-05,0.0002689999999994086,6.000000000838668e-06,6.899999999987472e-05,6.199999999978445e-05,4.999999999810711e-06,0.0022370000000009327,0.0002529999999989485,0.11206400000000016,6.199999999978445e-05,7.599999999996498e-05,4.500000000007276e-05,0.0005590000000008644,4.999999999988347e-05,9.999999999621423e-06,0.003443000000000751,MAIL_gate_Email_IMAP_filetransfer.pcap
